signatur;titel;laufzeit;geo_koordinate_x;geo_koordinate_y
11460;Brücke Nr. 114 b, Engelbostel-Hannover-Stöcken;1911;52.334859;8.618746
11451;Brücke Nr. 114 a Bremer Chaussee, Garbsen;1913;;
11773;Verlegung der Eiseneinlagen und Sohle vom Düker in Station 5 und 11 des Leineabstiegskanals, Hannover-Limmer;1913;52.383397;9.683824
11503;Brücke an der Podbielskistrasse, Hannover-Bothfeld;1912;52.405677;9.798489
11997;Uferabbrüche der Leine bei km 27,35;1949;52.382892;7.921648
11479;Brücke am Klein-Buchholzer Koppelweg, Hannover-Klein Buchholz;1910;;
11881;Versackung in der Lehmdichtung der Sohle zwischen Kanalhauptbrücke und Flutbrücke bei Seelze;1928;52.408363;9.593116
11725;Baustelle der Brücke bei Letter;1912;52.391551;9.650797
11531;Tondichtung und Einschlammen bei Seelze;1913;52.401715;9.577033
11606;Sperrtor, Havelse;1916;52.413843;9.609691
11709;Baustelle der Brücke, Seelze-Almhorst;1912;52.390549;9.584674
11806;Tonverrutschungen in der Dichtungsschicht des Kanalbettes im Zweigkanal bei Seelze;1914;52.396094;9.56036
11923;Herrenhäuser Wehr, Hannover-Herrenhausen;1932;52.380762;9.691256
11589;Tongruben der Ziegelei Plass und Stille, Garbsen;1916;52.397565;9.648243
11715;Montagegerüst und Aufbau des eisernen Ãœberbaus der Brücke Seelze - Döteberg;1912;52.389174;9.597609
11575;Station 50 und 52 bei Garbsen;1915;52.413855;9.609699
11578;Station 53 und 50 Grundstücke der Ziegelei Plass, Garbsen;1915;;
11924;Herrenhäuser Wehr, Hannover-Herrenhausen;1932;52.381022;9.691551
11597;Hochwasser oberhalb der Hauptbrücke;1916;;
11449;Grundstück Biermann südlich der Brücke Nr. 112, Garbsen;1915;52.337812;8.593236
11689;Kanalbaustelle, Hannover-Vahrenwald;1915;52.405176;9.750822
11820;Dükerbau beim Leineabstiegkanal, Hannover-Limmer;1914;52.384501;9.680742
11781;Herstellung der Verblendung für die Kammermauern der Leineabstiegsschleuse, Hannover-Limmer;1913;52.384881;9.679823
11816;Herrenhäuser Wehr, Hannover-Herrenhausen;1914;52.381022;9.691551
11994;Geräteschiff der Firma Parday;1949;;
11817;Herrenhäuser Wehr, Hannover-Herrenhausen;1914;52.381022;9.691551
11579;Wasserstau bei der Hauptbrücke unweit Lohnde;1916;52.404043;9.583908
11623;Baugrube des Dükers für den Desbrockswiedegraben, Hannover-Stöcken;1914;52.423139;9.653925
11672;Dükerbau am Lister Koppelweg, Hannover-List;1915;;
11739;Montage des eisernen Ãœberbaus der Lohnder Feldwegbrücke bei Lohnde;1912;52.404091;9.584055
11996;Uferabbrüche der Leine bei km 27,4;1949;52.382892;7.921648
11989;Weidenpflanzungen am linken Ufer des Kanals km 161,5;1940;52.417216;9.711942
11797;Sperrtor mit Seilscheibenhäuschen im Hauptkanal bei Lohnde;1913;52.399038;9.562415
11884;Abgefrorener Beton auf der Brückensohle, Leinetal;1928;52.403176;9.580977
11511;Kanalstrecke, Hannover-Gross-Buchholz;1916;52.404035;9.812909
11958;Rechter Hochwasserdamm beim Zusammenfluss von Beeke und Ihme, Hannover-Ricklingen;1937;52.353217;9.729485
11728;Baustelle der Brücke, Hannover-Limmer;1912;;
11694;Kanalbaustelle, Hannover-Vahrenwald;1915;52.405176;9.750822
11507;Brücke an der Podbielskistrasse, Hannover-Bothfeld;1912;52.405666;9.798771
11419;Baustelle und verschiedene Bauabschnitte der Kanalflutbrücke über die Leine bei Seelze;1913;52.405619;9.587366
11856;Bei Baggerarbeiten gefundene Ammoniten-Versteinerung, Hannover-Linden;1914;;
11955;Cumberländisches Wehr, Hannover-Herrenhausen;1936;;
11512;Brücke an der Schierholzstrasse, Hannover-Gross Buchholz;1913;52.400195;9.820997
11620;Baugrube des Dükers für den Desbrockswiedegraben, Hannover-Stöcken;1914;52.423139;9.653925
11941;Verstärkung und Einbau der Seitenstreben an der Kanalhauptbrücke über die Leine bei Seelze;1935;52.405619;9.587366
11931;Böschungskegel an der Kanalhauptbrücke über die Leine bei Seelze;1932;52.405619;9.587366
11729;Baustelle der Brücke in der Leinemasch bei Hannover-Ahlem;1912;52.328138;9.766128
11714;Baggerbetrieb an der Abzweigstelle des Kanals bei Lohnde;1912;52.397728;9.555952
11918;Schaummassen im Leinearm (Leinehafen), Hannover;1932;52.377831;9.711414
11818;Herrenhäuser Wehr, Hannover-Herrenhausen;1914;52.381022;9.691551
11734;Baustelle der Brücke in der Leinemasch bei Hannover-Ahlem;1912;52.396145;9.667172
11765;Baugrube und Gleisanlage der Leineabstiegsschleuse, Hannover-Limmer;1913;52.384881;9.679823
11927;Herrenhäuser Wehr, Hannover-Herrenhausen;1932;52.381022;9.691551
11889;Trogwand der Kanalhauptbrücke über die Leine bei Seelze;1928;52.405619;9.587366
11810;Verschalung des Druckwasserkanals im Oberhaupt der Aufstiegsschleuse, Hanover-Limmer;1914;52.378302;9.681403
11704;Kanalbaustelle, Hannover-Vahrenwald;1915;52.405176;9.750822
11716;Montagegerüst und Aufbau des eisernen Ãœberbaus der Brücke Seelze - Almhorst;1912;52.389174;9.597609
11423;Baustelle und verschiedene Bauabschnitte der Kanalflutbrücke über die Leine bei Seelze;1913;52.405619;9.587366
11925;Herrenhäuser Wehr, Hannover-Herrenhausen;1932;52.381022;9.691551
11836;Kaiserbrücke, Hannover-Vahrenwald;1914;52.407749;9.739574
14501;Hannover-Limmer, Ãœberholungsarbeiten an der Hafenschleuse;1938;52.378603;9.681056
11638;Dükerbau des Schiffgrabens, Hannover-Klein Buchholz;1915;52.405566;9.799121
11949;Auslass zur Leine;1936;;
11866;Abgerissene Nadellehnenschwelle der Kanalhauptbrücke über die Leine bei Seelze;1928;52.408363;9.593116
11482;Brücke am Klein-Buchholzer Koppelweg, Hannover-Klein Buchholz;1911;;
11587;Station 45 und 50 südlich der Flutbrücke bei Seelze;1915;52.399644;9.5683
11754;Herstellung der Buschmatratze im unteren Schleusenvorboden der Leineabstiegsschleuse, Hannover-Limmer;1913;52.384881;9.679823
11506;Brücke an der Podbielskistrasse, Hannover-Bothfeld;1914;52.405677;9.798489
11954;Oberhaupt der Leineschleuse, Hannover-Limmer;1936;52.361232;9.864097
11440;Baustelle und verschiedene Bauabschnitte der Kanalflutbrücke über die Leine bei Seelze;1914;52.405619;9.587366
11967;Uferbefestigung der Ihme, Hannover;1937;;
11468;Brücke Nr. 117 c (Kaiserbrücke), Hannover-Vahrenwald;1913;52.407749;9.739574
11882;Beschädigungen der Uferdeckung gegenüber der Sandverladestelle, Garbsen;1928;;
11472;Brücke Nr. 117 d am Lister Mühlenweg, Hannover-List;1911;;
11922;Herrenhäuser Wehr, Hannover-Herrenhausen;1932;52.381022;9.691551
14502;Hannover-Limmer, Herstellung der linken Hälfte an der Aufstiegsschleuse;1914;52.378302;9.681403
11406;Baustelle der Kanalhauptbrücke über die Leine bei Seelze;1914;52.408363;9.593116
11633;Dükerbau bei der Kanalstrecke, Hannover-Vahrenwald;1915;52.411306;9.728559
11998;Durch Hochwasser ausgekolktes Ufer der Leine bei km 26,9;1949;;
11395;Baustelle der Kanalhauptbrücke über die Leine bei Seelze;1912;52.408363;9.593116
